attendance,assignments,midterm,course_load,passed
0.7196530080198205,0.3508376362966691,0.49819764361376984,7,0
0.5032460858970624,0.7082517818354556,0.6301268683093146,4,0
0.8275040507775553,0.8406990574513049,0.5274395701278787,3,1
0.7424252095041084,0.9637459480574402,0.675772337050566,3,1
0.8604293206845104,0.7112148648875015,0.922638598547215,4,1
0.520783970516481,0.661504416581808,0.9581453840212566,5,0
0.8211618037829588,0.8126992213507986,0.22257898424768285,7,0
0.40270421302207177,0.9431319185632674,0.7092380285192832,7,0
0.6246075772166844,0.8664628683394779,0.6168382563458709,3,1
0.8138359694029176,0.8112825025040695,0.8895983757047168,4,1
0.6341972017576711,0.46813748975555247,0.7047392723751957,5,0
0.9359187715477847,0.8085560579167159,0.6738514894500607,7,1
0.7940422187244214,0.6416611330065518,0.7718489648868352,7,0
0.8340170321032707,0.5487437538108162,0.6998068660175654,5,1
0.6808199357335154,0.4993486616551225,0.6800580916796712,3,1
0.8612710160278514,0.6280096743840649,0.49976843814801414,5,1
0.8456398405105932,0.9625396463779838,0.8122395864147156,5,1
0.49539253837269426,0.969531475891791,0.8755888507786127,5,1
0.4091577632802627,0.5931764961456526,0.5430118964714898,7,0
0.8030158782526093,0.957677824176683,0.9218325392781705,6,1
0.4050325429240239,0.65328708878883,0.4695401133280237,4,0
0.8094246430971181,0.39500116812758607,0.569330267442171,6,0
0.5780422086146538,0.53102187393046,0.4514636732653312,4,0
0.531418838954242,0.500839711095841,0.637227686388109,5,0
0.668678324683009,0.8411098708656535,0.6561091494652258,7,0
0.42599643161798845,0.6723995748724834,0.9984743120938357,5,0
0.5610974885923353,0.4622161030093429,0.3579644379191647,3,0
0.7988626119053346,0.4374072546758994,0.4244752278300659,6,0
0.6825824506172218,0.32153081737025696,0.7455874999110801,5,0
0.7279841473459819,0.6910218133230185,0.6782390562816897,3,1
0.43429104748461206,0.9868439224841259,0.5428037294383019,6,0
0.5142902928572239,0.5825754053482914,0.6174140588099042,4,0
0.8558057865133335,0.9898795861247858,0.24175039253618247,7,0
0.6672866576327616,0.8207270191009042,0.4968453924956522,4,1
0.9605594783264394,0.8944292967299192,0.9256070367406355,6,1
0.48433306944469334,0.9165750567659814,0.37798841516882115,3,1
0.42650440748355606,0.5058734385703256,0.7320200028222343,4,0
0.7013100644981544,0.4952980108517761,0.5942700327114585,4,0
0.513393881132316,0.6746246102500971,0.846738889284673,3,1
0.9358533418370246,0.8441419612593284,0.47574103223466535,6,1
0.954311781714474,0.548999771613758,0.26317218574598117,7,0
0.7173216828316422,0.978861659112753,0.2437476877133171,5,1
0.4598650507437076,0.908807047239458,0.4851826686958184,3,1
0.8085421176046234,0.4887101197493786,0.383750849815565,4,0
0.9578060343510374,0.46590377936233596,0.4018656440896952,6,0
0.7544013223946617,0.3772085351573333,0.8980805748497505,6,0
0.6121348059284202,0.7951300296693913,0.8937793806744523,3,1
0.783776210040676,0.9657180260090383,0.2551417122514137,6,1
0.5470531666442725,0.3544550743165587,0.818259836739591,5,0
0.8061509829192592,0.5684910149096387,0.20075691968948084,7,0
0.4910848648370999,0.5350859265783574,0.5267621086182239,3,0
0.804664571306784,0.8264155270828468,0.5113984460255772,5,1
0.8715094017614816,0.6021835558347484,0.2053272592504672,5,0
0.8729489011458736,0.923020471506778,0.39726537576750326,5,1
0.4359246392537129,0.7306552785272191,0.4050988627802672,6,0
0.414698957227689,0.4141212510875475,0.5141271666571475,6,0
0.8684466816420762,0.4626929341865799,0.6545011134779148,4,1
0.6492258504380013,0.8853153965106189,0.7872132937662835,4,1
0.7144516666636995,0.5177541109516942,0.8380727406406814,5,1
0.49010233181863233,0.9387557979761805,0.9416960185286516,6,1
0.9339038698932752,0.3557879279161347,0.8795452755905984,6,1
0.7342993914894419,0.43945235298863605,0.6523792919430933,5,0
0.5237487732929913,0.5060845859377736,0.2768825265636376,6,0
0.6503456423808051,0.44678410278628267,0.5544519494908358,3,1
0.8501726660493709,0.532718006882393,0.5563211687520486,4,1
0.5194919446288653,0.8225555077911377,0.7526919077498564,7,0
0.5934529017511712,0.4682489823666876,0.9399399219140323,4,1
0.6414043743703887,0.6855413460479396,0.6743103833493,6,0
0.7404693433537143,0.6835162233035117,0.3498549689717646,5,0
0.5371184112873952,0.3664016526057739,0.9346670990663424,4,0
0.6437496136930109,0.7208020726389994,0.8977829016481405,4,1
0.5202529230326401,0.5601429909202655,0.3116604236662487,6,0
0.6557039122310658,0.8690546132290702,0.5375527827814488,7,0
0.924638149481744,0.5047748236193135,0.4679398889953177,6,0
0.698077524896699,0.4731980945317266,0.30101568469444634,3,0
0.4236657581304572,0.3822165754118061,0.21566028118794975,4,0
0.6443616711835338,0.536138056227135,0.6965438147951626,5,0
0.7108295223847056,0.7352183214013972,0.8173250835837944,5,1
0.927907551917283,0.8980577014958118,0.9421797561928147,4,1
0.7201285782456682,0.9837041553805637,0.2695078686405962,6,0
0.701000170590486,0.5580982834733252,0.46676203363578,4,0
0.8270360321312442,0.6503523645161261,0.2693830729621829,5,0
